LinearNorm_Linear2 Episode 0, Reward: -715.225129373787, Steps: 159
LinearNorm_Linear2 Episode 1, Reward: -338.89644340482494, Steps: 91
LinearNorm_Linear2 Episode 2, Reward: -257.92421336733565, Steps: 108
LinearNorm_Linear2 Episode 3, Reward: -158.363509562243, Steps: 71
LinearNorm_Linear2 Episode 4, Reward: -31.560798215925473, Steps: 91
LinearNorm_Linear2 Episode 5, Reward: -405.8880418230161, Steps: 111
LinearNorm_Linear2 Episode 6, Reward: -1005.5106127429605, Steps: 336
LinearNorm_Linear2 Episode 7, Reward: -246.8917247306194, Steps: 146
LinearNorm_Linear2 Episode 8, Reward: -227.76688377425876, Steps: 133
LinearNorm_Linear2 Episode 9, Reward: -293.2682379630448, Steps: 92
LinearNorm_Linear2 Episode 10, Reward: -383.3556850401144, Steps: 79
LinearNorm_Linear2 Episode 11, Reward: -170.97944728814727, Steps: 167
LinearNorm_Linear2 Episode 12, Reward: -268.4425160408315, Steps: 103
LinearNorm_Linear2 Episode 13, Reward: -233.08881707617292, Steps: 159
LinearNorm_Linear2 Episode 14, Reward: -384.0177602548795, Steps: 81
LinearNorm_Linear2 Episode 15, Reward: -465.0782928035453, Steps: 146
LinearNorm_Linear2 Episode 16, Reward: -258.52954438841584, Steps: 100
LinearNorm_Linear2 Episode 17, Reward: -767.3128011062826, Steps: 453
LinearNorm_Linear2 Episode 18, Reward: -528.9231786128123, Steps: 193
LinearNorm_Linear2 Episode 19, Reward: -300.7331545063428, Steps: 103
LinearNorm_Linear2 Episode 20, Reward: -292.6807938728526, Steps: 130
LinearNorm_Linear2 Episode 21, Reward: -445.4155633625543, Steps: 82
LinearNorm_Linear2 Episode 22, Reward: -416.6531071870776, Steps: 81
LinearNorm_Linear2 Episode 23, Reward: -410.5264383292926, Steps: 118
LinearNorm_Linear2 Episode 24, Reward: -450.25743604988463, Steps: 93
LinearNorm_Linear2 Episode 25, Reward: -307.80220464388447, Steps: 143
LinearNorm_Linear2 Episode 26, Reward: -328.141020519793, Steps: 138
LinearNorm_Linear2 Episode 27, Reward: -538.6265838050659, Steps: 101
LinearNorm_Linear2 Episode 28, Reward: -684.5375673421587, Steps: 119
LinearNorm_Linear2 Episode 29, Reward: -276.03287064443066, Steps: 106
LinearNorm_Linear2 Episode 30, Reward: -257.757469324472, Steps: 92
LinearNorm_Linear2 Episode 31, Reward: -308.3279636685058, Steps: 101
LinearNorm_Linear2 Episode 32, Reward: -692.7902685830351, Steps: 99
LinearNorm_Linear2 Episode 33, Reward: -601.7008202989516, Steps: 137
LinearNorm_Linear2 Episode 34, Reward: -300.06938757000603, Steps: 145
LinearNorm_Linear2 Episode 35, Reward: -295.1872700607406, Steps: 92
LinearNorm_Linear2 Episode 36, Reward: -289.3894881465857, Steps: 173
LinearNorm_Linear2 Episode 37, Reward: -328.41712475417717, Steps: 145
LinearNorm_Linear2 Episode 38, Reward: -622.4080723480365, Steps: 300
LinearNorm_Linear2 Episode 39, Reward: -599.6208998655611, Steps: 128
LinearNorm_Linear2 Episode 40, Reward: -637.6319025367187, Steps: 129
LinearNorm_Linear2 Episode 41, Reward: -647.354086609704, Steps: 132
LinearNorm_Linear2 Episode 42, Reward: -583.2228939412963, Steps: 106
LinearNorm_Linear2 Episode 43, Reward: -184.5004214422566, Steps: 136
LinearNorm_Linear2 Episode 44, Reward: -514.5418276651094, Steps: 126
LinearNorm_Linear2 Episode 45, Reward: -680.4343229455702, Steps: 109
LinearNorm_Linear2 Episode 46, Reward: -285.42195094147917, Steps: 102
LinearNorm_Linear2 Episode 47, Reward: -577.4018783838155, Steps: 174
LinearNorm_Linear2 Episode 48, Reward: -411.8030967445717, Steps: 137
LinearNorm_Linear2 Episode 49, Reward: -630.6348473703711, Steps: 122
LinearNorm_Linear2 Episode 50, Reward: -558.9328291034149, Steps: 123
LinearNorm_Linear2 Episode 51, Reward: -598.6124638364847, Steps: 154
LinearNorm_Linear2 Episode 52, Reward: -607.4461548946404, Steps: 190
LinearNorm_Linear2 Episode 53, Reward: -687.6018406793705, Steps: 117
LinearNorm_Linear2 Episode 54, Reward: -531.1704112599692, Steps: 132
LinearNorm_Linear2 Episode 55, Reward: -608.9342567310903, Steps: 199
LinearNorm_Linear2 Episode 56, Reward: -641.3873279538868, Steps: 143
LinearNorm_Linear2 Episode 57, Reward: -563.7480856166318, Steps: 138
LinearNorm_Linear2 Episode 58, Reward: -428.05120288316664, Steps: 195
LinearNorm_Linear2 Episode 59, Reward: -405.46824890285023, Steps: 136
LinearNorm_Linear2 Episode 60, Reward: -266.5040569459719, Steps: 144
LinearNorm_Linear2 Episode 61, Reward: -587.5650954805974, Steps: 122
LinearNorm_Linear2 Episode 62, Reward: -572.8051454852938, Steps: 109
LinearNorm_Linear2 Episode 63, Reward: -549.0626307094258, Steps: 147
LinearNorm_Linear2 Episode 64, Reward: -695.6485373155701, Steps: 108
LinearNorm_Linear2 Episode 65, Reward: -498.36503752986556, Steps: 126
LinearNorm_Linear2 Episode 66, Reward: -555.1508223448316, Steps: 97
LinearNorm_Linear2 Episode 67, Reward: -699.4800475329669, Steps: 85
LinearNorm_Linear2 Episode 68, Reward: -699.7708324289083, Steps: 146
LinearNorm_Linear2 Episode 69, Reward: -576.1495854682732, Steps: 110
LinearNorm_Linear2 Episode 70, Reward: -542.3010749095138, Steps: 171
LinearNorm_Linear2 Episode 71, Reward: -529.8359870808226, Steps: 115
LinearNorm_Linear2 Episode 72, Reward: -662.2009282748678, Steps: 262
LinearNorm_Linear2 Episode 73, Reward: -323.13262924559194, Steps: 108
LinearNorm_Linear2 Episode 74, Reward: -315.38503243404205, Steps: 161
LinearNorm_Linear2 Episode 75, Reward: -403.2646757336377, Steps: 154
LinearNorm_Linear2 Episode 76, Reward: -213.99324675293718, Steps: 168
LinearNorm_Linear2 Episode 77, Reward: -498.98536707968805, Steps: 280
LinearNorm_Linear2 Episode 78, Reward: -386.2797982111341, Steps: 227
LinearNorm_Linear2 Episode 79, Reward: -349.0629998707631, Steps: 248
LinearNorm_Linear2 Episode 80, Reward: -214.6302112071038, Steps: 162
LinearNorm_Linear2 Episode 81, Reward: -423.4641378602779, Steps: 332
LinearNorm_Linear2 Episode 82, Reward: -460.4176148132819, Steps: 184
LinearNorm_Linear2 Episode 83, Reward: -395.6892287052207, Steps: 249
LinearNorm_Linear2 Episode 84, Reward: -319.74089474827025, Steps: 190
LinearNorm_Linear2 Episode 85, Reward: -165.23529678685486, Steps: 376
LinearNorm_Linear2 Episode 86, Reward: -329.4576243212723, Steps: 1053
LinearNorm_Linear2 Episode 87, Reward: -259.9307076122756, Steps: 285
LinearNorm_Linear2 Episode 88, Reward: -282.09574968224, Steps: 154
LinearNorm_Linear2 Episode 89, Reward: -416.87014676441476, Steps: 178
LinearNorm_Linear2 Episode 90, Reward: -540.658450811005, Steps: 1616
LinearNorm_Linear2 Episode 91, Reward: -301.10744052485154, Steps: 374
LinearNorm_Linear2 Episode 92, Reward: -139.8362625738323, Steps: 134
LinearNorm_Linear2 Episode 93, Reward: -295.8092109674193, Steps: 229
