LinearNorm_Residue2 Episode 0, Reward: -10.656080324191265, Steps: 79
LinearNorm_Residue2 Episode 1, Reward: -176.05926397446544, Steps: 53
LinearNorm_Residue2 Episode 2, Reward: -595.4697667547512, Steps: 62
LinearNorm_Residue2 Episode 3, Reward: -464.73494005065635, Steps: 72
LinearNorm_Residue2 Episode 4, Reward: -395.3733008679229, Steps: 78
LinearNorm_Residue2 Episode 5, Reward: -568.2117622713236, Steps: 77
LinearNorm_Residue2 Episode 6, Reward: -622.9137474381714, Steps: 91
LinearNorm_Residue2 Episode 7, Reward: -519.5641844338036, Steps: 102
LinearNorm_Residue2 Episode 8, Reward: -516.6285401628097, Steps: 79
LinearNorm_Residue2 Episode 9, Reward: -1640.4251484173335, Steps: 235
LinearNorm_Residue2 Episode 10, Reward: -437.6146965788079, Steps: 97
LinearNorm_Residue2 Episode 11, Reward: -2500.1914615062874, Steps: 263
LinearNorm_Residue2 Episode 12, Reward: -560.5888829840635, Steps: 98
LinearNorm_Residue2 Episode 13, Reward: -1092.9904418978317, Steps: 189
LinearNorm_Residue2 Episode 14, Reward: -1432.3556402301015, Steps: 226
LinearNorm_Residue2 Episode 15, Reward: -1218.1742129800512, Steps: 212
LinearNorm_Residue2 Episode 16, Reward: -1026.788940251925, Steps: 146
LinearNorm_Residue2 Episode 17, Reward: -499.184129227952, Steps: 89
LinearNorm_Residue2 Episode 18, Reward: -429.3116422918222, Steps: 84
LinearNorm_Residue2 Episode 19, Reward: -441.368785695254, Steps: 73
LinearNorm_Residue2 Episode 20, Reward: -1667.7164199137399, Steps: 209
LinearNorm_Residue2 Episode 21, Reward: -757.0750339026534, Steps: 141
LinearNorm_Residue2 Episode 22, Reward: -694.4530572937377, Steps: 92
LinearNorm_Residue2 Episode 23, Reward: -535.8466994772923, Steps: 94
LinearNorm_Residue2 Episode 24, Reward: -770.294884340089, Steps: 123
LinearNorm_Residue2 Episode 25, Reward: -701.5404715537372, Steps: 92
LinearNorm_Residue2 Episode 26, Reward: -648.1725278698345, Steps: 108
LinearNorm_Residue2 Episode 27, Reward: -567.3390199512551, Steps: 71
LinearNorm_Residue2 Episode 28, Reward: -721.668822397398, Steps: 100
LinearNorm_Residue2 Episode 29, Reward: -786.4166282493305, Steps: 151
LinearNorm_Residue2 Episode 30, Reward: -454.6737325622355, Steps: 78
LinearNorm_Residue2 Episode 31, Reward: -808.5600186900782, Steps: 103
LinearNorm_Residue2 Episode 32, Reward: -488.8107983311006, Steps: 90
LinearNorm_Residue2 Episode 33, Reward: -474.2219454486005, Steps: 74
LinearNorm_Residue2 Episode 34, Reward: -606.3290744638452, Steps: 91
LinearNorm_Residue2 Episode 35, Reward: -2079.913031038185, Steps: 266
LinearNorm_Residue2 Episode 36, Reward: -637.5565491976577, Steps: 76
