Linear_Linear1 Episode 0, Reward: -523.7101495603581, Steps: 88
Linear_Linear1 Episode 1, Reward: -475.8048197404646, Steps: 72
Linear_Linear1 Episode 2, Reward: -401.7358668299504, Steps: 89
Linear_Linear1 Episode 3, Reward: -432.14691659078653, Steps: 69
Linear_Linear1 Episode 4, Reward: -235.1663925076963, Steps: 54
Linear_Linear1 Episode 5, Reward: -815.2166744866682, Steps: 81
Linear_Linear1 Episode 6, Reward: -325.9445325421458, Steps: 65
Linear_Linear1 Episode 7, Reward: -785.8877512124061, Steps: 74
Linear_Linear1 Episode 8, Reward: -496.20153833773713, Steps: 75
Linear_Linear1 Episode 9, Reward: -304.03424185614256, Steps: 55
Linear_Linear1 Episode 10, Reward: -360.0955614422654, Steps: 94
Linear_Linear1 Episode 11, Reward: -165.69926621235527, Steps: 70
Linear_Linear1 Episode 12, Reward: -165.77917649919664, Steps: 77
Linear_Linear1 Episode 13, Reward: -123.96844970401051, Steps: 68
Linear_Linear1 Episode 14, Reward: -140.44298257828365, Steps: 63
Linear_Linear1 Episode 15, Reward: -162.16389564742963, Steps: 63
Linear_Linear1 Episode 16, Reward: -105.64633058999905, Steps: 61
Linear_Linear1 Episode 17, Reward: -176.54977155517548, Steps: 71
Linear_Linear1 Episode 18, Reward: -119.63193727721358, Steps: 55
Linear_Linear1 Episode 19, Reward: -148.35539552528317, Steps: 93
Linear_Linear1 Episode 20, Reward: -120.51927307170595, Steps: 90
Linear_Linear1 Episode 21, Reward: -140.95405356840683, Steps: 82
Linear_Linear1 Episode 22, Reward: -106.91112528425808, Steps: 60
Linear_Linear1 Episode 23, Reward: -174.1740714196782, Steps: 79
Linear_Linear1 Episode 24, Reward: -124.84592062267285, Steps: 88
Linear_Linear1 Episode 25, Reward: -114.24046100422413, Steps: 71
Linear_Linear1 Episode 26, Reward: -92.131033807395, Steps: 87
Linear_Linear1 Episode 27, Reward: -159.1920046697205, Steps: 61
Linear_Linear1 Episode 28, Reward: -42.63321379285327, Steps: 70
Linear_Linear1 Episode 29, Reward: -121.53735865218616, Steps: 55
Linear_Linear1 Episode 30, Reward: -91.29587043084246, Steps: 57
Linear_Linear1 Episode 31, Reward: -87.15015094691864, Steps: 56
Linear_Linear1 Episode 32, Reward: -108.89710124083709, Steps: 60
Linear_Linear1 Episode 33, Reward: -110.94952975154229, Steps: 65
Linear_Linear1 Episode 34, Reward: -151.42197040747337, Steps: 59
Linear_Linear1 Episode 35, Reward: -185.11676568770213, Steps: 82
Linear_Linear1 Episode 36, Reward: -156.6937106549941, Steps: 66
Linear_Linear1 Episode 37, Reward: -145.90633779807783, Steps: 87
Linear_Linear1 Episode 38, Reward: -145.43090896596192, Steps: 87
Linear_Linear1 Episode 39, Reward: -156.996438468367, Steps: 67
Linear_Linear1 Episode 40, Reward: -120.18251350548138, Steps: 54
Linear_Linear1 Episode 41, Reward: -135.70476022973799, Steps: 84
Linear_Linear1 Episode 42, Reward: -50.398643466749775, Steps: 69
Linear_Linear1 Episode 43, Reward: -204.65400038934462, Steps: 80
Linear_Linear1 Episode 44, Reward: -197.82176253076994, Steps: 94
Linear_Linear1 Episode 45, Reward: -161.5414764997248, Steps: 70
Linear_Linear1 Episode 46, Reward: -99.60845987582093, Steps: 54
Linear_Linear1 Episode 47, Reward: -111.49283981770716, Steps: 63
Linear_Linear1 Episode 48, Reward: -125.32742520562053, Steps: 55
Linear_Linear1 Episode 49, Reward: -133.7299449956299, Steps: 80
Linear_Linear1 Episode 50, Reward: -185.21416776123925, Steps: 87
Linear_Linear1 Episode 51, Reward: 21.513646107750944, Steps: 100
Linear_Linear1 Episode 52, Reward: -87.64411838633745, Steps: 54
Linear_Linear1 Episode 53, Reward: -137.65457010285735, Steps: 86
Linear_Linear1 Episode 54, Reward: -141.83809523085498, Steps: 64
Linear_Linear1 Episode 55, Reward: -133.94428766891482, Steps: 54
Linear_Linear1 Episode 56, Reward: -181.23350338246908, Steps: 68
Linear_Linear1 Episode 57, Reward: -116.67839973231807, Steps: 64
Linear_Linear1 Episode 58, Reward: -138.90437656823565, Steps: 52
Linear_Linear1 Episode 59, Reward: -136.53941972021119, Steps: 91
Linear_Linear1 Episode 60, Reward: -122.05066610195584, Steps: 69
Linear_Linear1 Episode 61, Reward: -152.96406728813827, Steps: 64
Linear_Linear1 Episode 62, Reward: -114.48199866325345, Steps: 52
Linear_Linear1 Episode 63, Reward: -118.07887329689169, Steps: 77
Linear_Linear1 Episode 64, Reward: -103.24977660662248, Steps: 57
Linear_Linear1 Episode 65, Reward: -151.77270218883376, Steps: 57
Linear_Linear1 Episode 66, Reward: -139.91958158369917, Steps: 65
Linear_Linear1 Episode 67, Reward: -129.01834655145643, Steps: 57
Linear_Linear1 Episode 68, Reward: -173.95068284971347, Steps: 83
Linear_Linear1 Episode 69, Reward: -97.17486554608058, Steps: 59
Linear_Linear1 Episode 70, Reward: -135.19281925219178, Steps: 77
Linear_Linear1 Episode 71, Reward: -116.75449743891093, Steps: 64
Linear_Linear1 Episode 72, Reward: -113.64633627820328, Steps: 79
Linear_Linear1 Episode 73, Reward: -140.99266262490556, Steps: 73
Linear_Linear1 Episode 74, Reward: -181.66609979310323, Steps: 74
Linear_Linear1 Episode 75, Reward: -105.35339309385975, Steps: 61
Linear_Linear1 Episode 76, Reward: -140.1804564720524, Steps: 81
Linear_Linear1 Episode 77, Reward: -82.44162027761212, Steps: 91
Linear_Linear1 Episode 78, Reward: 27.08550161743598, Steps: 127
Linear_Linear1 Episode 79, Reward: -116.66761827521333, Steps: 56
Linear_Linear1 Episode 80, Reward: -132.3615067732612, Steps: 83
Linear_Linear1 Episode 81, Reward: -118.63737133759324, Steps: 62
Linear_Linear1 Episode 82, Reward: -129.52713706890214, Steps: 85
Linear_Linear1 Episode 83, Reward: -142.67343275562308, Steps: 57
Linear_Linear1 Episode 84, Reward: -126.46712947674095, Steps: 60
Linear_Linear1 Episode 85, Reward: -156.46441156629925, Steps: 81
Linear_Linear1 Episode 86, Reward: -165.97347447324557, Steps: 66
Linear_Linear1 Episode 87, Reward: -178.1749389783297, Steps: 88
Linear_Linear1 Episode 88, Reward: -143.1346141154553, Steps: 68
Linear_Linear1 Episode 89, Reward: -114.67424342041525, Steps: 64
Linear_Linear1 Episode 90, Reward: -132.54405740660224, Steps: 87
Linear_Linear1 Episode 91, Reward: -149.52829149649406, Steps: 54
Linear_Linear1 Episode 92, Reward: -121.2762097266243, Steps: 84
