Linear_Residue2 Episode 0, Reward: -238.85516494212476, Steps: 77
Linear_Residue2 Episode 1, Reward: -475.6980913099833, Steps: 54
Linear_Residue2 Episode 2, Reward: -371.15626894874384, Steps: 74
Linear_Residue2 Episode 3, Reward: -344.6343526205422, Steps: 78
Linear_Residue2 Episode 4, Reward: -126.63876149966465, Steps: 57
Linear_Residue2 Episode 5, Reward: -346.32215959441487, Steps: 85
Linear_Residue2 Episode 6, Reward: -469.88407171987296, Steps: 58
Linear_Residue2 Episode 7, Reward: -378.076413991467, Steps: 81
Linear_Residue2 Episode 8, Reward: -344.6172148509502, Steps: 103
Linear_Residue2 Episode 9, Reward: -162.06353771986772, Steps: 69
Linear_Residue2 Episode 10, Reward: -656.9370802384044, Steps: 93
Linear_Residue2 Episode 11, Reward: -576.0161377965683, Steps: 82
Linear_Residue2 Episode 12, Reward: -924.0027640084753, Steps: 132
Linear_Residue2 Episode 13, Reward: -230.48454552283133, Steps: 69
Linear_Residue2 Episode 14, Reward: -256.94139842080955, Steps: 70
Linear_Residue2 Episode 15, Reward: -184.22595235122728, Steps: 72
Linear_Residue2 Episode 16, Reward: -221.22495865624694, Steps: 58
Linear_Residue2 Episode 17, Reward: -227.48226691386338, Steps: 59
Linear_Residue2 Episode 18, Reward: -622.7432886758571, Steps: 81
Linear_Residue2 Episode 19, Reward: -342.28326986394177, Steps: 59
Linear_Residue2 Episode 20, Reward: -499.51545663046096, Steps: 77
Linear_Residue2 Episode 21, Reward: -535.5918429140738, Steps: 92
Linear_Residue2 Episode 22, Reward: -297.7776379428227, Steps: 58
Linear_Residue2 Episode 23, Reward: -647.6831377634428, Steps: 85
Linear_Residue2 Episode 24, Reward: -567.6961542359494, Steps: 72
Linear_Residue2 Episode 25, Reward: -716.674631674865, Steps: 74
Linear_Residue2 Episode 26, Reward: -711.3749627803405, Steps: 72
Linear_Residue2 Episode 27, Reward: -516.5800866168496, Steps: 54
Linear_Residue2 Episode 28, Reward: -492.3463981312789, Steps: 69
Linear_Residue2 Episode 29, Reward: -451.796817649087, Steps: 57
Linear_Residue2 Episode 30, Reward: -395.6513763532501, Steps: 53
Linear_Residue2 Episode 31, Reward: -496.6126564228201, Steps: 68
Linear_Residue2 Episode 32, Reward: -517.2512428737668, Steps: 80
Linear_Residue2 Episode 33, Reward: -319.32468040986026, Steps: 65
Linear_Residue2 Episode 34, Reward: -135.08103476454235, Steps: 55
Linear_Residue2 Episode 35, Reward: -147.82042012323637, Steps: 66
Linear_Residue2 Episode 36, Reward: -161.98804162562203, Steps: 64
Linear_Residue2 Episode 37, Reward: -130.50194766826513, Steps: 65
Linear_Residue2 Episode 38, Reward: -117.6233121375378, Steps: 69
Linear_Residue2 Episode 39, Reward: -133.00412243946948, Steps: 84
Linear_Residue2 Episode 40, Reward: -143.9705512399358, Steps: 60
Linear_Residue2 Episode 41, Reward: -99.9608760896818, Steps: 54
Linear_Residue2 Episode 42, Reward: -146.24804505447494, Steps: 73
Linear_Residue2 Episode 43, Reward: -152.018588340151, Steps: 92
Linear_Residue2 Episode 44, Reward: -159.3104362280152, Steps: 76
Linear_Residue2 Episode 45, Reward: -162.59917863454046, Steps: 63
Linear_Residue2 Episode 46, Reward: -147.29381450436256, Steps: 79
Linear_Residue2 Episode 47, Reward: -53.55398268603717, Steps: 88
Linear_Residue2 Episode 48, Reward: -180.03499261457847, Steps: 54
Linear_Residue2 Episode 49, Reward: -224.3526262527925, Steps: 73
Linear_Residue2 Episode 50, Reward: -216.35114329647737, Steps: 86
Linear_Residue2 Episode 51, Reward: -177.78897299736053, Steps: 67
Linear_Residue2 Episode 52, Reward: -319.46258932475314, Steps: 78
Linear_Residue2 Episode 53, Reward: -156.35556056326044, Steps: 53
Linear_Residue2 Episode 54, Reward: -225.78266527849206, Steps: 70
Linear_Residue2 Episode 55, Reward: -155.70690453062187, Steps: 88
Linear_Residue2 Episode 56, Reward: -139.3085726938658, Steps: 84
Linear_Residue2 Episode 57, Reward: -159.6625497440565, Steps: 64
Linear_Residue2 Episode 58, Reward: -135.67007299196106, Steps: 53
Linear_Residue2 Episode 59, Reward: -159.52106799094497, Steps: 71
Linear_Residue2 Episode 60, Reward: -135.47550202994233, Steps: 77
Linear_Residue2 Episode 61, Reward: -120.67810415579106, Steps: 86
Linear_Residue2 Episode 62, Reward: -136.67161078768518, Steps: 71
Linear_Residue2 Episode 63, Reward: -137.93296591936277, Steps: 53
Linear_Residue2 Episode 64, Reward: -148.9074032656513, Steps: 78
Linear_Residue2 Episode 65, Reward: -120.26269807698932, Steps: 55
Linear_Residue2 Episode 66, Reward: -131.30282758842316, Steps: 75
Linear_Residue2 Episode 67, Reward: -149.50182853896774, Steps: 85
Linear_Residue2 Episode 68, Reward: -144.84027800459393, Steps: 87
Linear_Residue2 Episode 69, Reward: -123.67241742355836, Steps: 59
Linear_Residue2 Episode 70, Reward: -140.94195754327217, Steps: 83
Linear_Residue2 Episode 71, Reward: -129.48940873296823, Steps: 70
Linear_Residue2 Episode 72, Reward: -130.5507167495818, Steps: 64
Linear_Residue2 Episode 73, Reward: -119.73696428416082, Steps: 63
Linear_Residue2 Episode 74, Reward: -174.17156192055927, Steps: 69
Linear_Residue2 Episode 75, Reward: -136.38003268292664, Steps: 66
Linear_Residue2 Episode 76, Reward: -109.46220598577901, Steps: 56
Linear_Residue2 Episode 77, Reward: -106.1632723252252, Steps: 49
Linear_Residue2 Episode 78, Reward: -104.51124403824498, Steps: 56
Linear_Residue2 Episode 79, Reward: -105.55577524292322, Steps: 73
Linear_Residue2 Episode 80, Reward: -109.9148386403977, Steps: 81
Linear_Residue2 Episode 81, Reward: -122.40940289071449, Steps: 84
Linear_Residue2 Episode 82, Reward: -106.2451979079643, Steps: 90
Linear_Residue2 Episode 83, Reward: -105.3775361163296, Steps: 86
Linear_Residue2 Episode 84, Reward: -118.22464636648968, Steps: 56
Linear_Residue2 Episode 85, Reward: -118.19460338851462, Steps: 62
Linear_Residue2 Episode 86, Reward: -135.73022129972387, Steps: 68
Linear_Residue2 Episode 87, Reward: -114.47534697039961, Steps: 83
Linear_Residue2 Episode 88, Reward: -115.10910381125817, Steps: 71
Linear_Residue2 Episode 89, Reward: -143.7315442134524, Steps: 83
Linear_Residue2 Episode 90, Reward: -157.65209408738394, Steps: 69
Linear_Residue2 Episode 91, Reward: -145.72664959700612, Steps: 75
Linear_Residue2 Episode 92, Reward: 4.652063300627731, Steps: 68
Linear_Residue2 Episode 93, Reward: -159.18527453046744, Steps: 72
Linear_Residue2 Episode 94, Reward: -141.66590383017487, Steps: 79
Linear_Residue2 Episode 95, Reward: -144.75004672254798, Steps: 62
Linear_Residue2 Episode 96, Reward: -161.14448346190028, Steps: 62
Linear_Residue2 Episode 97, Reward: -159.42419409347457, Steps: 57
Linear_Residue2 Episode 98, Reward: -120.14631928784054, Steps: 58
Linear_Residue2 Episode 99, Reward: -49.460490228560616, Steps: 90
Linear_Residue2 Episode 100, Reward: -157.46522585519756, Steps: 58
Linear_Residue2 Episode 101, Reward: -157.77616148143713, Steps: 70
Linear_Residue2 Episode 102, Reward: -170.71048118297028, Steps: 66
Linear_Residue2 Episode 103, Reward: -143.5733415528233, Steps: 78
Linear_Residue2 Episode 104, Reward: -172.53227153897598, Steps: 70
Linear_Residue2 Episode 105, Reward: -21.552779551092613, Steps: 68
Linear_Residue2 Episode 106, Reward: -178.55908905471705, Steps: 58
Linear_Residue2 Episode 107, Reward: -146.44203979814495, Steps: 90
Linear_Residue2 Episode 108, Reward: -152.76327223755982, Steps: 74
Linear_Residue2 Episode 109, Reward: -151.5906170715416, Steps: 89
Linear_Residue2 Episode 110, Reward: -151.26709399065405, Steps: 77
Linear_Residue2 Episode 111, Reward: -146.61342436196605, Steps: 77
Linear_Residue2 Episode 112, Reward: -92.36464868121644, Steps: 69
Linear_Residue2 Episode 113, Reward: -119.6692851469743, Steps: 55
Linear_Residue2 Episode 114, Reward: -112.52635723544431, Steps: 54
Linear_Residue2 Episode 115, Reward: -132.43233134849038, Steps: 61
Linear_Residue2 Episode 116, Reward: -129.8816392647302, Steps: 68
Linear_Residue2 Episode 117, Reward: -100.37826456243165, Steps: 57
Linear_Residue2 Episode 118, Reward: -125.18782417961732, Steps: 80
Linear_Residue2 Episode 119, Reward: -109.05259504855655, Steps: 74
Linear_Residue2 Episode 120, Reward: -129.79474950382058, Steps: 71
Linear_Residue2 Episode 121, Reward: -135.02660360739523, Steps: 89
Linear_Residue2 Episode 122, Reward: -37.19978120741267, Steps: 100
Linear_Residue2 Episode 123, Reward: -118.1903749687729, Steps: 57
Linear_Residue2 Episode 124, Reward: -59.83294573377158, Steps: 91
Linear_Residue2 Episode 125, Reward: -99.26660255344117, Steps: 60
Linear_Residue2 Episode 126, Reward: -86.9915236174202, Steps: 90
Linear_Residue2 Episode 127, Reward: -71.67405192483395, Steps: 84
Linear_Residue2 Episode 128, Reward: -117.49452263199223, Steps: 61
