Residue_Linear1 Episode 0, Reward: -109.69729465831514, Steps: 62
Residue_Linear1 Episode 1, Reward: -215.36092824208058, Steps: 69
Residue_Linear1 Episode 2, Reward: -142.38097949920174, Steps: 53
Residue_Linear1 Episode 3, Reward: -137.91302902941658, Steps: 66
Residue_Linear1 Episode 4, Reward: -112.03516109460378, Steps: 61
Residue_Linear1 Episode 5, Reward: -147.1344155637242, Steps: 73
Residue_Linear1 Episode 6, Reward: -140.22392358047762, Steps: 68
Residue_Linear1 Episode 7, Reward: -126.79858458890195, Steps: 85
Residue_Linear1 Episode 8, Reward: -196.5325606790575, Steps: 85
Residue_Linear1 Episode 9, Reward: -160.67518296000506, Steps: 75
Residue_Linear1 Episode 10, Reward: -97.41575278957697, Steps: 58
Residue_Linear1 Episode 11, Reward: -371.9474034277629, Steps: 95
Residue_Linear1 Episode 12, Reward: -159.6823929221078, Steps: 88
Residue_Linear1 Episode 13, Reward: -120.68278207127582, Steps: 52
Residue_Linear1 Episode 14, Reward: -101.97700389903687, Steps: 53
Residue_Linear1 Episode 15, Reward: -121.52911660090871, Steps: 57
Residue_Linear1 Episode 16, Reward: -130.9833510018006, Steps: 53
Residue_Linear1 Episode 17, Reward: -119.51429780619546, Steps: 74
Residue_Linear1 Episode 18, Reward: -126.84108804012595, Steps: 61
Residue_Linear1 Episode 19, Reward: -94.97928835972868, Steps: 54
Residue_Linear1 Episode 20, Reward: -132.28861198108473, Steps: 62
Residue_Linear1 Episode 21, Reward: -136.14690690570657, Steps: 73
Residue_Linear1 Episode 22, Reward: -173.1768497502478, Steps: 84
Residue_Linear1 Episode 23, Reward: -207.10811694038253, Steps: 83
Residue_Linear1 Episode 24, Reward: -106.50458811860622, Steps: 52
Residue_Linear1 Episode 25, Reward: -158.59319248338699, Steps: 59
Residue_Linear1 Episode 26, Reward: -87.42926446454965, Steps: 55
Residue_Linear1 Episode 27, Reward: -157.6337872861858, Steps: 57
Residue_Linear1 Episode 28, Reward: -151.47642820950006, Steps: 66
Residue_Linear1 Episode 29, Reward: -123.5302932460113, Steps: 54
Residue_Linear1 Episode 30, Reward: -139.06563022835687, Steps: 82
Residue_Linear1 Episode 31, Reward: -24.115111602827298, Steps: 78
Residue_Linear1 Episode 32, Reward: -121.0863919085574, Steps: 51
Residue_Linear1 Episode 33, Reward: -140.0061495187631, Steps: 63
Residue_Linear1 Episode 34, Reward: -118.61284221199895, Steps: 59
Residue_Linear1 Episode 35, Reward: 18.937304867875156, Steps: 77
Residue_Linear1 Episode 36, Reward: -158.15558078198632, Steps: 92
Residue_Linear1 Episode 37, Reward: -114.38319118766191, Steps: 75
Residue_Linear1 Episode 38, Reward: -154.89456835044842, Steps: 86
Residue_Linear1 Episode 39, Reward: -138.6203828208301, Steps: 56
Residue_Linear1 Episode 40, Reward: -144.77596033574736, Steps: 79
Residue_Linear1 Episode 41, Reward: -158.33021622135274, Steps: 78
Residue_Linear1 Episode 42, Reward: -102.39170048715269, Steps: 82
Residue_Linear1 Episode 43, Reward: -168.92611677090702, Steps: 62
Residue_Linear1 Episode 44, Reward: -122.29464662620813, Steps: 83
Residue_Linear1 Episode 45, Reward: -141.4237354543587, Steps: 74
Residue_Linear1 Episode 46, Reward: -142.56394153057818, Steps: 63
Residue_Linear1 Episode 47, Reward: -333.9851451451121, Steps: 102
Residue_Linear1 Episode 48, Reward: -192.9882749680296, Steps: 88
Residue_Linear1 Episode 49, Reward: -95.70585839789052, Steps: 86
Residue_Linear1 Episode 50, Reward: -96.45821860195787, Steps: 90
Residue_Linear1 Episode 51, Reward: -124.793277376546, Steps: 87
Residue_Linear1 Episode 52, Reward: -132.70175260612703, Steps: 63
Residue_Linear1 Episode 53, Reward: -274.71143285074334, Steps: 96
Residue_Linear1 Episode 54, Reward: -146.5370024951843, Steps: 75
Residue_Linear1 Episode 55, Reward: -123.14272032045369, Steps: 71
Residue_Linear1 Episode 56, Reward: -159.99795872349583, Steps: 89
