Residue_Residue2 Episode 0, Reward: -32.9681845335204, Steps: 93
Residue_Residue2 Episode 1, Reward: -159.8519367239622, Steps: 65
Residue_Residue2 Episode 2, Reward: -342.3330265240615, Steps: 80
Residue_Residue2 Episode 3, Reward: -416.0386136658968, Steps: 110
Residue_Residue2 Episode 4, Reward: -465.7339257849698, Steps: 94
Residue_Residue2 Episode 5, Reward: -565.5596193440779, Steps: 90
Residue_Residue2 Episode 6, Reward: -349.73099760844434, Steps: 153
Residue_Residue2 Episode 7, Reward: -98.08059622265117, Steps: 55
Residue_Residue2 Episode 8, Reward: -299.8631818716706, Steps: 87
Residue_Residue2 Episode 9, Reward: -236.15388641292625, Steps: 111
Residue_Residue2 Episode 10, Reward: -40.69050314486363, Steps: 109
Residue_Residue2 Episode 11, Reward: -79.38202787205515, Steps: 63
Residue_Residue2 Episode 12, Reward: -79.25015045198828, Steps: 117
Residue_Residue2 Episode 13, Reward: -339.4923604184019, Steps: 217
Residue_Residue2 Episode 14, Reward: -265.6846209581174, Steps: 179
Residue_Residue2 Episode 15, Reward: -132.92531297414712, Steps: 312
Residue_Residue2 Episode 16, Reward: -348.80125334731997, Steps: 3164
Residue_Residue2 Episode 17, Reward: -141.41424007821627, Steps: 332
Residue_Residue2 Episode 18, Reward: -67.75495751759794, Steps: 469
Residue_Residue2 Episode 19, Reward: -63.420724995752465, Steps: 175
Residue_Residue2 Episode 20, Reward: -282.2270213910608, Steps: 81
Residue_Residue2 Episode 21, Reward: -41.020298093787986, Steps: 135
Residue_Residue2 Episode 22, Reward: -126.28242802218413, Steps: 258
Residue_Residue2 Episode 23, Reward: -162.13528447655062, Steps: 357
Residue_Residue2 Episode 24, Reward: -305.4730671015159, Steps: 248
Residue_Residue2 Episode 25, Reward: -95.82835347083687, Steps: 292
Residue_Residue2 Episode 26, Reward: -464.9407744953267, Steps: 1172
Residue_Residue2 Episode 27, Reward: -286.22519642912164, Steps: 417
Residue_Residue2 Episode 28, Reward: -278.64695796781524, Steps: 487
Residue_Residue2 Episode 29, Reward: -333.8752712238304, Steps: 1264
Residue_Residue2 Episode 30, Reward: -62.67459718762223, Steps: 638
Residue_Residue2 Episode 31, Reward: -27.013528601459214, Steps: 245
Residue_Residue2 Episode 32, Reward: 194.65027107184557, Steps: 665
Residue_Residue2 Episode 33, Reward: -77.72175553479298, Steps: 161
Residue_Residue2 Episode 34, Reward: -136.38037796351242, Steps: 731
Residue_Residue2 Episode 35, Reward: -282.55766906633096, Steps: 1035
Residue_Residue2 Episode 36, Reward: -95.70225777266955, Steps: 403
Residue_Residue2 Episode 37, Reward: -162.54596717931153, Steps: 1091
Residue_Residue2 Episode 38, Reward: -94.89411828405999, Steps: 510
Residue_Residue2 Episode 39, Reward: -134.21922432056562, Steps: 767
Residue_Residue2 Episode 40, Reward: -141.32992146030918, Steps: 327
Residue_Residue2 Episode 41, Reward: -151.93918695982353, Steps: 605
Residue_Residue2 Episode 42, Reward: -105.05168277784918, Steps: 564
Residue_Residue2 Episode 43, Reward: -234.44607617359472, Steps: 1179
Residue_Residue2 Episode 44, Reward: -289.4871584719569, Steps: 1431
Residue_Residue2 Episode 45, Reward: -249.1628005738819, Steps: 1129
Residue_Residue2 Episode 46, Reward: -114.98236408955579, Steps: 713
Residue_Residue2 Episode 47, Reward: -771.01606226995, Steps: 3890
Residue_Residue2 Episode 48, Reward: -109.40445207331778, Steps: 58
Residue_Residue2 Episode 49, Reward: -106.35385366513762, Steps: 830
Residue_Residue2 Episode 50, Reward: -250.45098819615495, Steps: 491
Residue_Residue2 Episode 51, Reward: -124.0636796002864, Steps: 50
Residue_Residue2 Episode 52, Reward: -73.81655729250511, Steps: 98
Residue_Residue2 Episode 53, Reward: -78.56869739227031, Steps: 84
Residue_Residue2 Episode 54, Reward: 11.19409107966655, Steps: 93
Residue_Residue2 Episode 55, Reward: 134.2337807921668, Steps: 1009
Residue_Residue2 Episode 56, Reward: -28.33422125629687, Steps: 182
Residue_Residue2 Episode 57, Reward: -481.41517514873567, Steps: 2111
Residue_Residue2 Episode 58, Reward: 38.8814713591197, Steps: 81
Residue_Residue2 Episode 59, Reward: 173.53659841412946, Steps: 486
Residue_Residue2 Episode 60, Reward: 52.23468066202543, Steps: 1544
Residue_Residue2 Episode 61, Reward: -48.79170481107133, Steps: 1638
Residue_Residue2 Episode 62, Reward: -13.485748883948673, Steps: 100
Residue_Residue2 Episode 63, Reward: -59.85392580487314, Steps: 153
Residue_Residue2 Episode 64, Reward: 10.577242563064644, Steps: 151
Residue_Residue2 Episode 65, Reward: -158.08960119561166, Steps: 732
Residue_Residue2 Episode 66, Reward: -156.6337249502298, Steps: 767
Residue_Residue2 Episode 67, Reward: -68.04309601824912, Steps: 102
Residue_Residue2 Episode 68, Reward: -48.69603126369988, Steps: 204
Residue_Residue2 Episode 69, Reward: 21.735277385066027, Steps: 96
Residue_Residue2 Episode 70, Reward: -29.55671957922503, Steps: 86
Residue_Residue2 Episode 71, Reward: -11.015273718438394, Steps: 69
Residue_Residue2 Episode 72, Reward: 192.54563110856708, Steps: 1653
Residue_Residue2 Episode 73, Reward: 7.508878944470467, Steps: 175
Residue_Residue2 Episode 74, Reward: -82.86934765713434, Steps: 112
Residue_Residue2 Episode 75, Reward: -97.77646967327661, Steps: 61
Residue_Residue2 Episode 76, Reward: 27.587808213160372, Steps: 96
Residue_Residue2 Episode 77, Reward: 204.07837394519913, Steps: 216
Residue_Residue2 Episode 78, Reward: 156.03025381343616, Steps: 323
Residue_Residue2 Episode 79, Reward: 46.7354648262984, Steps: 89
Residue_Residue2 Episode 80, Reward: -11.533126901342314, Steps: 95
Residue_Residue2 Episode 81, Reward: 18.959220723402524, Steps: 116
Residue_Residue2 Episode 82, Reward: 9.729016921398028, Steps: 93
Residue_Residue2 Episode 83, Reward: 13.782187261744255, Steps: 95
Residue_Residue2 Episode 84, Reward: 217.2003150105662, Steps: 240
Residue_Residue2 Episode 85, Reward: -330.50077491362595, Steps: 144
Residue_Residue2 Episode 86, Reward: 40.055612351132396, Steps: 123
Residue_Residue2 Episode 87, Reward: 250.10077838343634, Steps: 235
Residue_Residue2 Episode 88, Reward: -22.11106694021457, Steps: 78
Residue_Residue2 Episode 89, Reward: 285.77820633347096, Steps: 296
Residue_Residue2 Episode 90, Reward: -66.79791803083492, Steps: 123
Residue_Residue2 Episode 91, Reward: -38.58753934180751, Steps: 102
Residue_Residue2 Episode 92, Reward: 221.70863356388332, Steps: 264
Residue_Residue2 Episode 93, Reward: 179.12489716370152, Steps: 710
Residue_Residue2 Episode 94, Reward: -121.31768512735698, Steps: 311
